Tracking project build/test results with MY_ASM=builtin MY_LD=builtin

| Project | x86 | i686 | arm | riscv | Notes |
|---------|-----|------|-----|-------|-------|
| lz4     | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix; arm/riscv now pass |
| libyaml | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| tomlc99 | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| parson  | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| jsmn    | PASS | PASS | N/A  | N/A  | Fixed i686: IFUNC support (IPLT/IRELATIVE), TLS, local sym resolution, generic section writes |
| zstd    | PASS | TODO | TODO | TODO | Fixed __ASSEMBLER__ for .S files, .pushsection/.popsection, BMI2 instrs, bitwise expr parsing |
| 8cc     | PASS | PASS | TODO | TODO | Fixed x86 builtin linker copy-reloc st_shndx and .gnu.hash; i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes |
| bzip2   | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| miniz   | PASS | PASS | PASS | PASS | i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes |
| utf8proc | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| chibicc | PASS | TODO | TODO | TODO | Passes x86 |
| QuickJS | PASS | PASS | FAIL (frontend codegen bug: test_cyclic_import.js) | PASS | Fixed i686: added --defsym linker support for fmod=__ieee754_fmod alias |
| cJSON   | PASS | PASS | PASS | PASS | All arches pass with builtin asm/ld |
| monocypher | PASS | PASS | PASS | PASS | Fixed ARM asm: symbol names matching register names (e.g. x16) |
| sundown | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| termbox | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| dash    | PASS | PASS | PASS | FAIL | Fixed x86: COPY reloc weak alias resolution (environ/__environ); i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes |
| cmark   | PASS | PASS | PASS | PASS | Fixed x86/riscv asm octal escape parsing (\0 prefix consumed too early); i686 fixed by ParamRef coalescing + reg cache invalidation fixes |
| Duktape | PASS | PASS | PASS | PASS | Passes all architectures out of the box |
| Wren    | PASS | TODO | TODO | TODO | Passes x86 (minor flaky timing tests, pass on retry) |
| json-c  | PASS | PASS | PASS | PASS | Fixed i686 linker local symbol collision (GOTOFF relocations); i686 fully fixed by COMDAT groups + GOTPC + PIC codegen fixes |
| nanomsg | PASS | PASS | PASS | PASS | Fixed: linker now rejects undefined symbols instead of silently resolving to 0; i686 fixed by PIC codegen fixes |
| lmdb    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| unqlite | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| libev   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| vedis   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| hiredis | PASS | PASS | PASS | PASS | i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes |
| mongoose | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| freetype | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| nuklear | PASS | PASS | PASS | PASS | i686 fixed by COMDAT groups + GOTPC + PIC codegen fixes |
| inih    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| sds     | PASS | TODO | TODO | TODO | Passes x86 |
| klib    | PASS | TODO | TODO | TODO | Passes x86 |
| oniguruma | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| stb_image | PASS | TODO | TODO | TODO | Passes x86 |
| xxhash  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| yyjson  | PASS | PASS | PASS | PASS | Fixed i686: incl/decl peephole broke carry flag for 64-bit negation (addl $1 before adcl) |
| smaz    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| heatshrink | PASS | PASS | PASS | PASS | Fixed i686: linker rejected .os/.od archive members and input files (extension-based filters) |
| bearssl | PASS | TODO (slow) | PASS | PASS | Build script fix: -DBR_GCC=0 to disable GCC vector type intrinsics. i686 correct but crypto tests too slow (~15x vs GCC) |
| tinyexpr | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| sqlite  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| genann  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| munit   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| llhttp  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| gumbo   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| md4c    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
